141.16 35.17 22 1.87 -2.86 0.99 1.79 1.16 0.13 24 X Y 201103152030A
140.83 35.78 12 -5.92 -0.87 6.79 0.10 2.54 -0.42 24 X Y 201103160352A
142.33 39.87 48 4.40 -0.18 -4.22 1.64 3.29 -1.16 24 X Y 201103160629A
142.55 40.17 41 1.29 0.07 -1.36 0.56 1.21 -0.29 25 X Y 201103170413A
143.46 37.79 12 -1.96 0.24 1.72 0.81 1.95 0.58 24 X Y 201103170612A
140.89 35.58 29 2.39 -1.78 -0.61 0.59 1.03 -0.94 24 X Y 201103171232A
141.42 36.80 39 -6.67 3.07 3.61 -0.82 -0.07 2.22 24 X Y 201103171254A
143.47 37.86 12 -1.49 0.06 1.43 0.29 1.22 0.34 24 X Y 201103180323A
142.36 39.24 25 0.09 0.09 -0.18 1.00 2.86 -0.15 24 X Y 201103182333A
143.29 39.67 22 4.65 -0.06 -4.59 2.44 5.90 -0.92 24 X Y 201103190122A
140.48 36.86 12 -6.88 3.01 3.87 1.33 2.14 -2.71 24 X Y 201103190956A
141.67 37.73 49 2.16 -0.38 -1.78 0.63 1.62 -0.57 24 X Y 201103200555A
142.14 39.39 51 5.07 -0.25 -4.82 2.12 3.67 -1.02 24 X Y 201103201203A
140.99 35.18 18 1.29 -2.53 1.24 3.08 1.39 0.59 24 X Y 201103220338A
144.00 37.11 12 -4.82 1.86 2.96 0.14 1.61 2.57 25 X Y 201103220718A
141.78 37.38 30 -0.20 0.44 -0.24 -2.45 0.52 0.65 25 X Y 201103220919A
143.81 39.84 13 2.14 0.05 -2.20 1.12 2.86 -0.57 25 X Y 201103220944A
143.34 39.90 26 1.91 -0.25 -1.67 1.01 2.43 -0.31 24 X Y 201103221121A
143.29 36.83 12 -2.80 1.12 1.68 -0.04 -0.10 1.30 24 X Y 201103221201A
141.79 36.12 34 3.42 -1.27 -2.15 1.17 1.96 -1.12 24 X Y 201103221204A
141.66 35.77 19 4.57 0.18 -4.75 4.13 1.88 -1.63 24 X Y 201103221350A
141.56 35.88 15 3.37 -3.18 -0.19 -0.64 -1.13 0.40 24 X Y 201103221503A
140.76 37.09 12 -3.65 0.14 3.51 0.71 1.72 1.14 24 X Y 201103222212A
142.34 39.08 37 0.58 0.07 -0.64 0.31 0.69 -0.06 25 X Y 201103240821A
142.17 38.78 46 1.88 -0.04 -1.83 0.82 1.60 -0.49 25 X Y 201103251136A
142.09 38.40 22 -2.28 1.88 0.39 1.85 0.32 -0.64 25 X Y 201103272223A
142.37 37.47 18 -1.64 0.13 1.51 1.55 0.90 0.77 25 X Y 201103291054A
142.63 36.09 12 5.51 -2.11 -3.40 -0.07 0.86 -2.08 24 X Y 201103300529A
142.05 38.97 50 1.07 -0.00 -1.07 0.42 0.84 -0.25 25 X Y 201103310715A
